2026-07-19T19:37:52-05:00
Running ./build/ejecutable_experimentos
Run on (12 X 4400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 1.00, 1.28, 1.17
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparaciones","Intercambios","RAM_Auxiliar_KB"
"BM_BubbleSort/1000/0/repeats:30",105,5.90097e+06,5.8873e+06,ns,,,,,,499500,252661,0
"BM_BubbleSort/1000/0/repeats:30",105,5.81969e+06,5.80578e+06,ns,,,,,,499500,250579,0
"BM_BubbleSort/1000/0/repeats:30",105,5.79988e+06,5.78479e+06,ns,,,,,,499500,257793,0
"BM_BubbleSort/1000/0/repeats:30",105,5.77549e+06,5.75944e+06,ns,,,,,,499500,248385,0
"BM_BubbleSort/1000/0/repeats:30",105,5.97196e+06,5.95415e+06,ns,,,,,,499500,245232,0
"BM_BubbleSort/1000/0/repeats:30",105,5.88799e+06,5.86784e+06,ns,,,,,,499500,247841,0
"BM_BubbleSort/1000/0/repeats:30",105,5.74577e+06,5.73438e+06,ns,,,,,,499500,249679,0
"BM_BubbleSort/1000/0/repeats:30",105,5.76315e+06,5.75116e+06,ns,,,,,,499500,253520,0
"BM_BubbleSort/1000/0/repeats:30",105,5.759e+06,5.74842e+06,ns,,,,,,499500,254704,0
"BM_BubbleSort/1000/0/repeats:30",105,5.84018e+06,5.82489e+06,ns,,,,,,499500,250466,0
"BM_BubbleSort/1000/0/repeats:30",105,5.75616e+06,5.74231e+06,ns,,,,,,499500,247242,0
"BM_BubbleSort/1000/0/repeats:30",105,5.84296e+06,5.82712e+06,ns,,,,,,499500,248199,0
"BM_BubbleSort/1000/0/repeats:30",105,5.75834e+06,5.74598e+06,ns,,,,,,499500,248782,0
"BM_BubbleSort/1000/0/repeats:30",105,5.81058e+06,5.79611e+06,ns,,,,,,499500,256631,0
"BM_BubbleSort/1000/0/repeats:30",105,5.81953e+06,5.79976e+06,ns,,,,,,499500,254549,0
"BM_BubbleSort/1000/0/repeats:30",105,5.9436e+06,5.92036e+06,ns,,,,,,499500,241294,0
"BM_BubbleSort/1000/0/repeats:30",105,5.77368e+06,5.76276e+06,ns,,,,,,499500,243892,0
"BM_BubbleSort/1000/0/repeats:30",105,6.18757e+06,6.16245e+06,ns,,,,,,499500,247215,0
"BM_BubbleSort/1000/0/repeats:30",105,5.93532e+06,5.9148e+06,ns,,,,,,499500,249794,0
"BM_BubbleSort/1000/0/repeats:30",105,5.99259e+06,5.97916e+06,ns,,,,,,499500,248632,0
"BM_BubbleSort/1000/0/repeats:30",105,5.80293e+06,5.78894e+06,ns,,,,,,499500,246900,0
"BM_BubbleSort/1000/0/repeats:30",105,5.82574e+06,5.81139e+06,ns,,,,,,499500,260896,0
"BM_BubbleSort/1000/0/repeats:30",105,6.16109e+06,6.14109e+06,ns,,,,,,499500,250562,0
"BM_BubbleSort/1000/0/repeats:30",105,5.89242e+06,5.85871e+06,ns,,,,,,499500,251462,0
"BM_BubbleSort/1000/0/repeats:30",105,6.02421e+06,6.00033e+06,ns,,,,,,499500,248292,0
"BM_BubbleSort/1000/0/repeats:30",105,5.91405e+06,5.89921e+06,ns,,,,,,499500,256579,0
"BM_BubbleSort/1000/0/repeats:30",105,5.92644e+06,5.91125e+06,ns,,,,,,499500,254784,0
"BM_BubbleSort/1000/0/repeats:30",105,5.82109e+06,5.80795e+06,ns,,,,,,499500,244893,0
"BM_BubbleSort/1000/0/repeats:30",105,5.77338e+06,5.75234e+06,ns,,,,,,499500,244571,0
"BM_BubbleSort/1000/0/repeats:30",105,5.94276e+06,5.92719e+06,ns,,,,,,499500,245872,0
"BM_BubbleSort/1000/0/repeats:30_mean",30,5.87228e+06,5.85558e+06,ns,,,,,,499500,250063,0
"BM_BubbleSort/1000/0/repeats:30_median",30,5.83296e+06,5.81814e+06,ns,,,,,,499500,249230,0
"BM_BubbleSort/1000/0/repeats:30_stddev",30,113360,110737,ns,,,,,,0,4567.9,0
"BM_BubbleSort/1000/0/repeats:30_cv",30,643473,630381,ns,,,,,,0,0.018267,-nan
"BM_BubbleSort/1000/1/repeats:30",274,2.43767e+06,2.43255e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.47789e+06,2.47171e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.51509e+06,2.50504e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.76192e+06,2.74503e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.55662e+06,2.53486e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.42332e+06,2.41978e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.45868e+06,2.45193e+06,ns,,,,,,499500,0,0
"BM_BubbleSort/1000/1/repeats:30",274,2.45928e+06,2.45318e+06,ns,,,,,,499500,0,0
